NUM,DISTRITO,NOMBRE,ELECTO/A,VALOR,Compromiso (acepta/omite/rechaza),Genero,REGION,LISTA CANDIDATO,LISTA CANDIDATO (AGRUPADAS),FILIACION POLITICA,"Minibio (texto para escribir, incl. HTML)",Comentarios Internos Equipo,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
D23-001,23,Manuela Royo,SI,0,acepta,Mujer,Araucania,Apruebo Dignidad,Lista del Pueblo (UNIFICADA),Partido Igualdad,"Abogada, Feminista",Candidata de Modatima. Activista por la lucha mapuche,,,,,,,,,,,,,
D23-013,23,Helmuth Martinez,SI,0,Omite,Hombre,Araucania,Elige la Lista del Pueblo,Independientes No Neutrales (UNIFICADA),Independiente,"Abogado,  asesor de comunidades indigenas y agrupaciones sociales y vecinales",se interesa por el derecho al agua,,,,,,,,,,,,,
D23-019,23,Lorena Cespedes,SI,0,acepta,Mujer,Araucania,Independientes por la Nueva Constitucion,Lista del Apruebo,Independiente,Profesora de fisica colegio Armando Duffey,"Educadora galardonada, fundadora y gerente general de Imake educacion",,,,,,,,,,,,,
D23-028,23,Eduardo Castillo,SI,0,Omite,Hombre,Araucania,Lista del Apruebo,Vamos por Chile,Partido por la Democracia,Abogado con magisteren derecho constitucional y profesor de derecho administrativo UCT,el mail y telefono puesto son institucionales de la Universidad Catolica de Temuco,,,,,,,,,,,,,
D23-050,23,Angelica Tepper,SI,0,Omite,Mujer,Araucania,Vamos por Chile,Vamos por Chile,Independiente,"Empresaria hotelera, ex presidenta de la multigremial araucania.",se incluye el contacto de uno de los hoteles de los que es dueña,,,,,,,,,,,,,
D23-051,23,Luis Mayol,SI,0,Omite,Hombre,Araucania,Vamos por Chile,Apruebo Dignidad,Renovacion Nacional,"Abogado, empresario y dirigente gremial. Ex intendente de la Araucania",Director independiente de aguas andinas,,,,,,,,,,,,,
D24-001,24,Aurora Delgado,SI,0,acepta,Mujer,Los Rios,Apruebo Dignidad,Lista del Apruebo,Revolucion Democratica,Matrona,"Vocera No + AFP Valdivia, en su programa menciona el acceso al agua",,,,,,,,,,,,,
D24-019,24,Ramona Reyes,SI,0,Omite,Mujer,Los Rios,Lista del Apruebo,Lista del Apruebo,Partido Socialista de Chile,"Matrona titulada en la Universidad Austral, mapuche, madre de 3 hijos varones.",,,,,,,,,,,,,,
D24-022,24,Pedro Muñoz Leiva,SI,0,acepta,Hombre,Los Rios,Lista del Apruebo,Vamos por Chile,Partido Socialista de Chile,Fundador VALDIVERSA organizacion  por la defensa de la diversidad LGBTI,,,,,,,,,,,,,,
D24-036,24,Felipe Mena,SI,0,Omite,Hombre,Los Rios,Vamos por Chile,Lista del Apruebo,Union Democrata Independiente,"Ingeniero Agronomo,  Director Regional del Instituto Nacional de la Juventud (INJUV)",,,,,,,,,,,,,,
D25-016,25,Mario Vargas Vidal,SI,0,Omite,Hombre,Los Lagos,Lista del Apruebo,Vamos por Chile,Partido Socialista de Chile,Profesor y musico,,,,,,,,,,,,,,
D25-023,25,Maria Cecilia Ubilla,SI,0,Omite,Mujer,Los Lagos,Vamos por Chile,Vamos por Chile,Independiente,Abogada,,,,,,,,,,,,,,
D25-027,25,Harry Jurgensen C.,SI,0,Omite,Hombre,Los Lagos,Vamos por Chile,Independientes No Neutrales (UNIFICADA),Renovacion Nacional,,,,,,,,,,,,,,,
D26-011,26,Gaspar Dominguez,SI,0,acepta,Hombre,Los Lagos,Independientes por una Nueva Constitucion,Lista del Pueblo (UNIFICADA),Independiente,Medico en salud publica,,,,,,,,,,,,,,
D26-017,26,Adriana Ampuero,SI,0,acepta,Mujer,Los Lagos,Insulares e Independientes,Lista del Apruebo,Independiente,"Abogada, Pertenece al mov Archipielago Soberano y fue dirigenta de la Asamblea Social de Castro y miembra del Equipo Juridico y de DDHH",,,,,,,,,,,,,,
D26-024,26,Julio Alvarez Pinto,SI,0,acepta,Hombre,Los Lagos,Lista del Apruebo,Vamos por Chile,Partido Socialista de Chile,Abogado y ex concejal de Castro,Este es su numero publico como consejal: 56981989501,,,,,,,,,,,,,
D26-029,26,Katerine Montealegre,SI,0,Omite,Mujer,Los Lagos,Vamos por Chile,Apruebo Dignidad,Union Democrata Independiente,Abogada,,,,,,,,,,,,,,
D27-006,27,Yarela Gomez,SI,0,acepta,Mujer,Aysen,Apruebo Dignidad,Lista del Apruebo,Revolucion Democratica,Profesora Feminista Coyahiquina,Compartio un post sobre la desprivatizacion del agua,,,,,,,,,,,,,
D27-012,27,Tomas Laibe Saez,SI,0,Omite,Hombre,Aysen,Lista del Apruebo,Vamos por Chile,Partido Socialista de Chile,Politologo aysenino perteneciente a la comunidad LGBTIQ+,Consagra el Agua como un derecho humano,,,,,,,,,,,,,
D27-022,27,Geoconda Navarrete,SI,0,Omite,Mujer,Aysen,Vamos por Chile,Lista del Pueblo (UNIFICADA),Evolucion Politica,,No tiene casi nada de informacion personal ni como constituyente,,,,,,,,,,,,,
D28-007,28,Elisa Giustinianovich,SI,0,acepta,Mujer,Magallanes,Coordinadora Social de Magallanes,Regionalismo Ciudadano Independiente,Independiente,"Ingeniera Quimica y Bioingeniera, Investigadora y gestora de proyectos socioambientales, ecofeminista",Militante ecofeminista.,,,,,,,,,,,,,
D28-022,28,Mauricio Daza,SI,0,acepta,Hombre,Magallanes,Regionalismo Ciudadano Independiente,Vamos por Chile,Independiente,Abogado,,,,,,,,,,,,,,
D28-031,28,Rodrigo Alvarez Zenteno,SI,0,Omite,Hombre,Magallanes,Vamos por Chile,,Union Democrata Independiente,"Profesor de Derecho Comercial, Derecho Tributario y de Derecho de la Competencia en Universidad Catolica.",,,,,,,,,,,,,,
INDI-014,INDIGENA,Ximena Anza Colamar,SI,0,Omite,Hombre,Antofagasta,,,,Ingeniero Civil Ambiental,,,,,,,,,,,,,,
INDI-023,INDIGENA,Francisca Linconao Huircapan,SI,0,Omite,Mujer,Araucania,,,,,,,,,,,,,,,,,,
INDI-029,INDIGENA,Rosa Elizabeth Catrileo Arias,SI,0,Omite,Mujer,Araucania,,,,"Estudio Derecho en Universidad Catolica de Temuco, Diplomado en Derechos Humanos y Pueblos Indigenas",,,,,,,,,,,,,,
INDI-057,INDIGENA,Luis Jimenez Caceres,SI,0,acepta,Hombre,Arica y parinacota,,,,,Estudio Derecho en Universidad de Chile,,,,,,,,,,,,,
INDI-078,INDIGENA,Isabel Godoy Monardez,SI,0,Omite,Hombre,Atacama,,,,"Presidente Cdad Indigena Colla Finca del Chañar, Tierra Amarilla,Atacama",,,,,,,,,,,,,,
INDI-101,INDIGENA,Natividad Llanquileo Pilquiman,SI,0,acepta,Mujer,Bio bio,,,,"Abogada, Diplomada en Derechos Humanos, Politicas Publicas e Interculturalidad de la Universidad de la Frontera,  Presidenta del Centro de Investigacion y Defensa Sur y actual directora de Relacion con el medio nacional e internacional.",https://radiojgm.uchile.cl/natividad-llanquileo-la-soberania-debe-recaer-en-todos-los-pueblos-que-habitan-chile-con-un-reconocimiento-explicito-como-sujetos-de-derechos-colectivos/,,,,,,,,,,,,,
INDI-103,INDIGENA,Adolfo Millabur Ñancuil,SI,0,Omite,Hombre,Bio bio,,,,"Dirigente Mapuche-Lafkenche oriundo de Tirua, ciudad de la que fue alcalde en cinco periodos consecutivos, siendo asi el primer alcalde de origen Mapuche de la historia de Chile",https://es.wikipedia.org/wiki/Adolfo_Millabur_%C3%91ancuil,,,,,,,,,,,,,
INDI-113,INDIGENA,Fernando del Carmen Tirado Soto,SI,0,Omite,Hombre,Coquimbo,,,,,,,,,,,,,,,,,,
INDI-115,INDIGENA,Maria Calderon Alvarez,SI,0,Omite,Mujer,Coquimbo,,,,"Abogada, derecho Indigena y genero.",Directora ONG de Desarrollo Indigena Wiñoy Lepay Kimun.,,,,,,,,,,,,,
INDI-122,INDIGENA,Carmen Jaramillo Gualaman,SI,0,Omite,Hombre,De los Lagos,,,,,,,,,,,,,,,,,,
INDI-130,INDIGENA,Carmen Caifil Caifil,SI,0,Omite,Hombre,Los rios,,,,,,,,,,,,,,,,,,
INDI-133,INDIGENA,Margarita Vargas Lopez,SI,0,Omite,Mujer,Magallanes,,,,,Trabajo por mas de 20 años en el desarrollo de su gente,,,,,,,,,,,,,
INDI-141,INDIGENA,Lidia Gonzalez Calderon,SI,0,Omite,Mujer,Magallanes,,,,,Representante Yagan,,,,,,,,,,,,,
INDI-145,INDIGENA,Elisa Loncon Antileo,SI,0,Omite,Mujer,Metropolitana,,,,Doctoraro en Linguiistica,Activista derechos Educativos y Lingüisticos de los Pueblos Indigena,,,,,,,,,,,,,
INDI-159,INDIGENA,Isabella Brunilda Mamani Mamani,SI,0,Omite,Mujer,Tarapaca,,,,,,,,,,,,,,,,,,
INDI-173,INDIGENA,Wilfredo Manuel Bacian Delgado,SI,0,Omite,Hombre,Tarapaca,,,,,,,,,,,,,,,,,,
INDI-179,INDIGENA,Tiare Aguilera Hey,SI,0,Omite,Mujer,Valparaiso,,,,,,,,,,,,,,,,,,
